,artist,year,song,genre,duration_min,popularity,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo
0,Britney Spears,2000,Oops!...I Did It Again,pop,3.52,77,0.751,0.834,1,-5.444,0,0.0437,0.3,1.77e-05,0.355,0.894,95.053
1,blink-182,1999,All The Small Things,"rock, pop",2.78,79,0.434,0.897,0,-4.918,1,0.0488,0.0103,0.0,0.612,0.684,148.726
2,Faith Hill,1999,Breathe,"pop, country",4.18,66,0.529,0.496,7,-9.007,1,0.029,0.173,0.0,0.251,0.278,136.859
3,Bon Jovi,2000,It's My Life,"rock, metal",3.74,78,0.551,0.913,0,-4.063,0,0.0466,0.0263,1.35e-05,0.347,0.544,119.992
4,NSYNC,2000,Bye Bye Bye,pop,3.34,65,0.614,0.928,8,-4.806,0,0.0516,0.0408,0.00104,0.0845,0.879,172.656
5,Sisqo,1999,Thong Song,"hip hop, pop, R&B",4.23,69,0.706,0.888,2,-6.959,1,0.0654,0.119,9.64e-05,0.07,0.714,121.549
6,Eminem,2000,The Real Slim Shady,hip hop,4.74,86,0.949,0.661,5,-4.244,0,0.0572,0.0302,0.0,0.0454,0.76,104.504
7,Robbie Williams,2000,Rock DJ,"pop, rock",4.31,68,0.708,0.772,7,-4.264,1,0.0322,0.0267,0.0,0.467,0.861,103.035
8,Destinys Child,1999,Say My Name,"pop, R&B",4.52,75,0.713,0.678,5,-3.525,0,0.102,0.273,0.0,0.149,0.734,138.009
9,Modjo,2001,Lady - Hear Me Tonight,Dance/Electronic,5.12,77,0.72,0.808,6,-5.627,1,0.0379,0.00793,0.0293,0.0634,0.869,126.041
10,Gigi DAgostino,2011,L'Amour Toujours,pop,3.98,1,0.617,0.728,7,-7.932,1,0.0292,0.0328,0.0482,0.36,0.808,139.066
11,Eiffel 65,1999,Move Your Body - Gabry Ponte Original Radio Edit,pop,4.48,56,0.745,0.958,7,-9.664,1,0.0287,0.0813,0.324,0.533,0.96,129.962
12,Bomfunk MCs,2000,Freestyler,pop,5.11,55,0.822,0.922,11,-5.798,0,0.0989,0.0291,0.325,0.252,0.568,163.826
13,Sting,1999,Desert Rose,"rock, pop",4.77,62,0.586,0.659,0,-7.92,0,0.0304,0.011,0.0,0.106,0.147,111.989
14,Melanie C,1999,Never Be The Same Again,"pop, Dance/Electronic",4.9,61,0.689,0.685,3,-5.153,1,0.0478,0.0921,0.0,0.119,0.398,160.067
15,Aaliyah,2002,Try Again,"hip hop, pop, R&B",4.73,53,0.797,0.622,6,-5.642,0,0.29,0.0807,0.0,0.0841,0.731,93.02
16,Anastacia,1999,I'm Outta Love - Radio Edit,pop,4.09,64,0.761,0.716,10,-5.8,0,0.056,0.396,0.0,0.0771,0.649,119.41
17,Alice Deejay,2000,Better Off Alone,pop,3.58,73,0.671,0.88,8,-6.149,0,0.0552,0.00181,0.691,0.285,0.782,136.953
18,Gigi DAgostino,1999,The Riddle,pop,4.76,64,0.74,0.876,6,-6.87,0,0.0369,0.0173,0.00152,0.0785,0.825,127.002
19,Dr. Dre,1999,The Next Episode,hip hop,2.69,82,0.922,0.909,10,-2.429,0,0.27,0.0281,0.0,0.0856,0.309,95.295
20,Linkin Park,2000,In the End,"rock, metal",3.61,83,0.556,0.864,3,-5.87,0,0.0584,0.00958,0.0,0.209,0.4,105.143
21,Tom Jones,1999,Sexbomb,"rock, Folk/Acoustic, easy listening",3.53,65,0.801,0.876,8,-3.94,0,0.0446,0.144,1.38e-05,0.104,0.932,122.979
22,Sonique,2000,It Feels So Good,pop,4.01,62,0.634,0.677,5,-7.278,0,0.0304,0.0117,0.00103,0.126,0.558,135.012
23,M.O.P.,2000,Cold as Ice,hip hop,4.07,54,0.656,0.88,11,-5.425,0,0.143,0.0421,0.0,0.294,0.758,85.565
24,Melanie C,1999,I Turn To You,"pop, Dance/Electronic",5.87,54,0.522,0.803,1,-5.825,1,0.0327,0.00117,0.00167,0.31,0.0783,135.205
25,Limp Bizkit,2000,Take A Look Around,metal,5.35,72,0.425,0.852,11,-5.607,1,0.046,0.0175,0.306,0.0935,0.512,101.968
26,Darude,2001,Sandstorm,"pop, Dance/Electronic",3.76,69,0.528,0.965,11,-7.984,0,0.0465,0.141,0.985,0.0797,0.587,136.065
27,Da Brat,2000,What'chu Like (feat. Tyrese),"hip hop, pop, R&B",3.69,53,0.879,0.681,10,-8.951,0,0.24,0.017,0.0,0.0669,0.817,99.974
28,Moloko,2000,The Time Is Now,"pop, Dance/Electronic",5.3,54,0.682,0.743,9,-10.644,0,0.165,0.35,0.000129,0.277,0.546,127.962
29,Chicane,2016,Don't Give Up,Dance/Electronic,3.51,47,0.644,0.72,10,-9.635,0,0.0419,0.00145,0.504,0.0839,0.53,132.017
30,DMX,1999,Party Up,"hip hop, pop",4.48,71,0.51,0.931,11,-3.302,1,0.347,0.0738,0.0,0.5,0.53,201.936
31,Debelah Morgan,2000,Dance with Me,"pop, R&B",3.67,49,0.85,0.674,7,-7.981,0,0.0373,0.309,0.000645,0.0356,0.74,115.005
32,Madonna,2000,Music,pop,3.77,58,0.736,0.802,7,-8.527,1,0.0663,0.00149,0.0876,0.14,0.871,119.854
33,Ruff Endz,2000,No More,R&B,4.04,52,0.839,0.641,10,-5.669,0,0.0858,0.0324,4.56e-06,0.0602,0.927,97.004
34,Britney Spears,1999,Born to Make You Happy,pop,4.06,58,0.633,0.922,11,-4.842,0,0.0454,0.116,0.000465,0.071,0.686,84.11
35,Montell Jordan,1999,Get It On Tonite,"hip hop, pop, R&B",4.6,59,0.813,0.491,10,-9.923,0,0.077,0.241,4.61e-05,0.0817,0.868,99.008
36,Kylie Minogue,2000,Spinning Around,"pop, Dance/Electronic",3.46,55,0.761,0.662,6,-7.645,0,0.0548,0.292,6.19e-05,0.0956,0.631,120.043
37,JAY-Z,1999,Big Pimpin',hip hop,4.72,69,0.88,0.814,11,-6.307,0,0.14,0.168,0.00672,0.0584,0.942,138.083
38,LeAnn Rimes,2001,I Need You,"pop, country",3.83,61,0.478,0.736,7,-7.124,1,0.0367,0.02,9.58e-05,0.118,0.564,144.705
39,Avant,2000,Separated,"pop, R&B",4.26,55,0.798,0.48,0,-5.564,1,0.0276,0.247,0.0,0.237,0.643,108.241
40,Enrique Iglesias,1999,Be With You,"pop, latin",3.66,54,0.683,0.866,1,-5.436,0,0.0329,0.0395,0.00161,0.0483,0.542,121.996
41,Toni Braxton,2000,He Wasn't Man Enough,"pop, R&B",4.37,66,0.739,0.947,11,-1.916,0,0.0411,0.00916,3.14e-05,0.326,0.766,88.009
42,Bow Wow,2000,Bounce With Me (feat. Xscape) - Edited Album Version,"hip hop, pop, R&B",2.93,36,0.852,0.75,8,-5.153,1,0.168,0.434,0.0,0.265,0.934,72.016
43,Dr. Dre,1999,Forgot About Dre,hip hop,3.7,79,0.924,0.74,8,-1.299,1,0.0774,0.0827,0.0,0.163,0.621,133.974
44,Missy Elliott,1998,Hot Boyz,"hip hop, pop, R&B",3.59,49,0.727,0.445,1,-11.241,1,0.291,0.339,0.0,0.18,0.527,81.125
45,Backstreet Boys,1999,Show Me the Meaning of Being Lonely,pop,3.92,68,0.63,0.625,6,-5.088,0,0.0252,0.231,0.0,0.0765,0.683,167.998
46,Samantha Mumba,2018,Gotta Tell You,pop,3.37,43,0.729,0.632,0,-8.75,0,0.0279,0.191,0.0,0.166,0.774,109.981
47,Mýa,2000,Case Of The Ex (Whatcha Gonna Do),"pop, R&B",3.95,59,0.772,0.688,1,-4.715,0,0.0405,0.0548,9.79e-05,0.0725,0.348,98.0
48,Mary Mary,2000,Shackles (Praise You),R&B,3.31,64,0.779,0.834,7,-2.773,1,0.162,0.0343,0.0,0.0886,0.8,100.46
49,Next,2004,Wifey,"hip hop, pop, R&B",4.06,52,0.829,0.652,7,-8.693,0,0.108,0.067,0.0,0.0812,0.726,99.581
50,Janet Jackson,2001,Doesn't Really Matter,"pop, R&B",4.42,47,0.771,0.796,5,-3.081,0,0.076,0.0993,0.00278,0.0981,0.801,99.316
51,Ricky Martin,2000,She Bangs - English Version,"pop, latin",4.68,60,0.63,0.95,1,-4.012,1,0.0806,0.000915,6.51e-06,0.373,0.858,143.866
52,Jagged Edge,2000,He Can't Love U,"hip hop, pop, R&B",4.07,55,0.721,0.836,8,-3.972,0,0.206,0.112,0.0,0.235,0.508,126.279
53,Sisqo,1999,Incomplete,"hip hop, pop, R&B",4.57,60,0.746,0.443,1,-7.693,0,0.0771,0.282,0.0,0.14,0.272,119.311
54,JAY-Z,2000,I Just Wanna Love U (Give It 2 Me),hip hop,3.8,59,0.8,0.922,4,-5.125,0,0.24,0.301,9.31e-06,0.0352,0.801,98.631
55,Mariah Carey,1999,Thank God I Found You (feat. Joe & 98°),"pop, R&B",4.29,59,0.348,0.532,10,-5.882,1,0.0331,0.592,0.0,0.106,0.148,129.297
56,Baha Men,2000,Who Let The Dogs Out,R&B,3.31,65,0.869,0.887,0,-4.505,1,0.0993,0.0605,0.0,0.148,0.784,129.221
57,Donell Jones,1999,"U Know What's Up (feat. Lisa ""Left Eye"" Lopes)","pop, R&B",4.06,63,0.854,0.543,8,-6.166,0,0.0844,0.0402,5.73e-05,0.0419,0.868,103.032
58,LeAnn Rimes,2001,Can't Fight The Moonlight,"pop, country",3.59,65,0.628,0.834,6,-6.341,0,0.0497,0.403,0.0,0.051,0.626,97.865
59,Oasis,2000,Go Let It Out,"Folk/Acoustic, rock",4.64,0,0.408,0.849,2,-5.631,1,0.0333,0.0136,2.51e-05,0.56,0.628,84.192
60,DJ Ötzi,2010,Hey Baby (Radio Mix),"pop, easy listening, Dance/Electronic",3.65,58,0.666,0.968,10,-3.196,1,0.046,0.123,0.0,0.347,0.834,135.099
61,P!nk,2000,Most Girls,pop,4.98,52,0.742,0.732,2,-6.046,0,0.0311,0.0424,0.00446,0.101,0.694,97.922
62,Mariah Carey,2011,Against All Odds (Take A Look at Me Now) (feat. Westlife),"pop, R&B",3.32,0,0.471,0.514,1,-5.599,1,0.0315,0.584,0.0,0.103,0.373,117.338
63,Craig David,2000,Fill Me In,"hip hop, pop, R&B",4.29,60,0.682,0.744,8,-6.981,1,0.0365,0.376,0.00951,0.06,0.827,132.493
64,Christina Aguilera,1999,I Turn to You,pop,4.56,61,0.599,0.47,1,-8.356,1,0.0376,0.38,0.0,0.111,0.298,127.177
65,Madonna,2000,American Pie,pop,4.56,58,0.631,0.734,5,-7.48,0,0.036,0.348,0.0,0.135,0.591,124.036
66,Red Hot Chili Peppers,1999,Otherside,rock,4.26,78,0.458,0.795,0,-3.265,1,0.0574,0.00316,0.000202,0.0756,0.513,123.229
67,Sammie,2000,I Like It,"hip hop, pop, R&B",4.18,55,0.826,0.656,9,-8.529,1,0.0617,0.0101,0.000113,0.0272,0.852,129.963
68,Craig David,2000,7 Days,"hip hop, pop, R&B",3.92,70,0.659,0.812,4,-7.499,0,0.0487,0.23,0.0,0.0951,0.888,83.014
69,Santana,1999,Maria Maria (feat. The Product G&B),"rock, blues, latin",4.37,66,0.777,0.601,2,-5.931,1,0.126,0.0406,0.00201,0.0348,0.68,97.911
70,Kandi,2000,Don't Think I'm Not,"pop, R&B",4.06,55,0.859,0.622,11,-8.196,1,0.0445,0.0661,0.0,0.0394,0.433,134.007
71,P!nk,2000,There You Go,pop,3.38,55,0.822,0.847,10,-6.729,0,0.0917,0.0854,0.0,0.0452,0.668,107.908
72,Vengaboys,2000,Shalala Lala,pop,3.58,58,0.751,0.901,2,-5.802,1,0.0328,0.0504,0.00308,0.0395,0.973,124.017
73,Ronan Keating,2000,Life Is A Rollercoaster,"pop, rock",3.91,59,0.655,0.791,0,-8.923,1,0.0302,0.1,0.000124,0.334,0.862,118.981
74,Madison Avenue,1999,Don't Call Me Baby,Dance/Electronic,3.8,56,0.808,0.982,3,-6.588,0,0.0311,0.0585,0.00689,0.35,0.961,124.999
75,Destinys Child,1999,"Jumpin', Jumpin'","pop, R&B",3.84,70,0.771,0.685,1,-4.639,1,0.0567,0.00543,0.00157,0.0537,0.683,88.997
76,Céline Dion,1999,That's the Way It Is,pop,4.02,64,0.634,0.886,9,-5.424,1,0.0434,0.154,0.0,0.118,0.577,93.04
77,3 Doors Down,2000,Kryptonite,"pop, rock, metal",3.9,78,0.545,0.865,11,-5.708,0,0.0286,0.00664,1.1e-05,0.168,0.543,99.009
78,Carl Thomas,2000,I Wish,"pop, R&B",3.78,52,0.736,0.666,1,-4.929,1,0.0337,0.0593,3.82e-05,0.107,0.224,89.824
79,Mystikal,2000,Shake Ya Ass,"hip hop, pop",4.28,57,0.914,0.607,7,-5.658,1,0.32,0.0626,0.0,0.0515,0.666,98.054
80,Fuel,2000,Hemorrhage (In My Hands),"rock, pop, metal",3.95,49,0.313,0.831,1,-3.894,1,0.0404,0.000127,0.000341,0.24,0.332,152.034
81,Donell Jones,1999,Where I Wanna Be,"pop, R&B",4.23,57,0.664,0.396,5,-9.131,0,0.0298,0.52,0.0,0.268,0.453,102.053
82,Savage Garden,1999,Crash and Burn,pop,4.69,54,0.581,0.607,4,-8.458,1,0.028,0.189,1.6e-06,0.0882,0.213,102.03
83,Westlife,2000,My Love,pop,3.86,68,0.491,0.593,0,-5.975,1,0.0255,0.098,0.0,0.257,0.328,144.142
84,All Saints,2000,Pure Shores,pop,4.48,62,0.631,0.664,6,-9.197,1,0.0242,0.0498,0.00042,0.0696,0.407,100.618
85,Destinys Child,2001,"Independent Women, Pt. 1","pop, R&B",3.69,65,0.73,0.602,6,-3.782,0,0.206,0.362,3.69e-06,0.169,0.927,97.954
86,NSYNC,2000,It's Gonna Be Me,pop,3.18,60,0.644,0.874,0,-4.666,0,0.0801,0.0459,2.24e-06,0.0584,0.882,165.09
87,Erykah Badu,2000,Bag Lady,"hip hop, R&B",5.81,54,0.724,0.416,5,-8.964,0,0.0841,0.365,0.0,0.0969,0.578,151.181
88,Marc Anthony,1999,You Sang To Me,"pop, latin",5.79,56,0.578,0.894,10,-5.42,1,0.0296,0.0103,2.66e-06,0.216,0.741,165.98
89,Matchbox Twenty,2000,Bent,"pop, rock",4.27,54,0.518,0.83,6,-6.814,0,0.0386,0.0404,3.85e-06,0.375,0.527,95.468
90,Gabrielle,2001,Rise,"pop, R&B",3.65,60,0.558,0.481,8,-9.487,1,0.026,0.315,8.83e-06,0.09,0.631,144.673
91,Backstreet Boys,2000,Shape of My Heart,pop,3.83,70,0.575,0.786,9,-4.353,1,0.0296,0.252,0.0,0.159,0.518,96.102
92,Creed,1999,With Arms Wide Open,"pop, rock, metal",4.58,64,0.41,0.539,0,-8.412,1,0.0302,0.00425,0.00089,0.117,0.141,138.852
93,The Corrs,2000,Breathless,"pop, Folk/Acoustic",3.46,68,0.607,0.82,11,-7.754,1,0.0597,0.0541,6.8e-05,0.269,0.768,126.988
94,Joe,2000,I Wanna Know,"pop, R&B",4.94,65,0.725,0.487,8,-5.959,0,0.0368,0.26,1.09e-05,0.431,0.599,136.086
95,Wheatus,1999,Teenage Dirtbag,set(),4.03,71,0.625,0.85,4,-3.904,1,0.0495,0.346,0.000233,0.174,0.633,94.661
96,Christina Aguilera,1999,Come on over Baby (All I Want Is You) - Radio Version,pop,3.39,64,0.829,0.915,8,-3.205,1,0.106,0.226,1.25e-05,0.246,0.779,118.903
97,Creed,1999,Higher,"pop, rock, metal",5.28,69,0.459,0.83,2,-6.254,1,0.0364,5.15e-05,0.00014,0.206,0.431,155.827
98,Britney Spears,2000,Lucky,pop,3.44,65,0.765,0.791,8,-5.707,1,0.0317,0.262,0.000154,0.0669,0.966,95.026
99,Nelly,2000,Country Grammar (Hot Shit),"hip hop, pop, R&B",4.78,68,0.865,0.664,2,-6.822,1,0.108,0.00689,0.0,0.142,0.565,162.831
100,Shaggy,2000,It Wasn't Me,"hip hop, pop",3.79,76,0.853,0.606,0,-4.596,1,0.0713,0.0561,0.0,0.313,0.654,94.759
101,Destinys Child,2001,Survivor,"pop, R&B",4.23,70,0.514,0.911,1,-2.027,0,0.41,0.0559,0.0,0.775,0.619,161.109
